id,prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon,predicted_price
687a2a81d5464a896caf94d1,530000.0,0,424.0,3.0,1.0,0,0,1,0,1,0,1,0,0,0,0,36.7531,10.2272,4.399671
694257f28914daae519cbc60,650000000.0,0,495.0,8.0,4.0,0,1,1,2,1,0,1,0,0,1,0,36.8986,10.1979,9.47953
6852dd0f8a733cfc286dcaf0,1150000.0,0,500.0,7.0,5.0,1,1,0,3,1,0,1,1,1,1,0,36.8609,10.1747,9.47953
6932d0af8914daae51964b23,1800000.0,0,670.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8574,10.1853,4.399671
69426a45cd04d08be74c4ca8,400000.0,0,460.0,6.0,3.0,0,0,0,4,1,0,0,0,0,0,0,36.7403,10.2516,9.47953
693c852f8914daae519a813d,1250000.0,0,356.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,1,36.8096,10.1364,9.47953
67877bc97041684afec34d19,630000.0,0,275.0,3.0,2.0,1,0,0,2,1,0,1,0,1,1,0,36.7681,10.2766,9.47953
693296f8cd04d08be745b041,800000.0,0,500.0,6.0,3.0,0,0,0,2,1,0,0,0,0,1,0,36.7681,10.2766,9.47953
678798cb7041684afec3698d,1300000.0,0,580.0,7.0,2.0,0,0,1,3,1,0,1,1,1,1,0,36.7681,10.2766,9.47953
69383ff08914daae5198a405,130000.0,0,75.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.7303,10.3417,6.9507422
693c9049cd04d08be74a10c2,650000000.0,0,500.0,4.0,2.0,0,0,0,2,1,0,1,0,0,0,0,36.8986,10.1979,9.47953
69429127cd04d08be74c60d9,545000.0,0,400.0,3.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.7303,10.3417,9.47953
67879dcded6f33de58c303a5,2400000.0,0,1014.0,6.0,4.0,0,0,0,2,1,0,1,0,1,1,0,36.7681,10.2766,9.47953
694291c38914daae519cd810,420000.0,0,190.0,5.0,3.0,0,1,1,3,0,0,0,0,0,0,0,36.8647,10.2243,9.47953
690b0fb56490817594e3d6d1,850000.0,0,1400.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,36.6956,10.2824,4.399671
690ce35a8e4e0e4acb5ea7ac,1850000.0,0,616.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,36.8586,10.1822,4.399671
693c3d0fcd04d08be749e2e5,350000.0,0,220.0,8.0,2.0,0,1,0,1,0,0,0,0,0,0,0,36.8184,10.1207,6.9507422
67879ca7ed6f33de58c302a5,1300000.0,0,1053.0,5.0,2.0,0,0,1,2,0,0,1,0,0,1,0,36.7681,10.2766,9.47953
694195adcd04d08be74c00ed,295000.0,1,129.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,0,36.8986,10.1979,9.47953
69419fc9cd04d08be74c0763,600000.0,0,440.0,5.0,4.0,0,1,1,2,0,0,1,0,0,0,0,36.8986,10.1979,9.47953
68ee58843e7ffb8ac15acd0a,1500000.0,0,550.0,12.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.8609,10.1747,9.47953
694167cd8914daae519c599c,529999.0,0,300.0,4.0,4.0,0,0,1,2,0,0,0,0,0,0,0,36.8369,10.1394,9.47953
694160b08914daae519c5536,390000.0,0,300.0,4.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.7254,10.3019,4.399671
6941a3d48914daae519c80fb,300000000.0,1,170.0,4.0,2.0,0,1,1,0,0,0,0,0,0,0,0,36.8611,10.2203,4.399671
6941856f8914daae519c6dde,430000.0,0,154.0,3.0,2.0,0,0,0,0,1,0,0,0,0,1,0,36.7436,10.3097,4.399671
68ff47be88bfe5662475cc53,370000.0,1,100.0,4.0,2.0,0,0,0,3,0,0,0,0,1,1,0,36.9176,10.2874,9.47953
68ff494f88bfe5662475cd1b,1399999.0,0,340.0,5.0,2.0,0,0,0,0,1,0,1,0,1,1,0,36.9176,10.2874,4.399671
69416b648914daae519c5bf8,1300000.0,0,400.0,7.0,3.0,0,1,0,3,1,0,1,0,1,1,0,36.8609,10.1747,9.47953
694153b4cd04d08be74bd632,270000.0,0,150.0,2.0,2.0,0,0,0,2,0,0,1,0,0,0,0,36.7403,10.2516,9.47953
68d54ec0516f1ddb82e2e5ed,1280000.0,0,440.0,5.0,4.0,0,0,0,2,1,0,1,0,1,1,0,36.9008,10.1914,9.47953
6936eef2cd04d08be74784ad,390000.0,0,140.0,4.0,1.0,0,1,0,3,0,0,0,0,0,0,0,36.8065,10.1815,9.47953
6937cc89cd04d08be747d9f3,280000.0,0,269.0,4.0,1.0,0,1,1,0,0,0,0,0,0,0,0,36.8601,10.1971,4.399671
68fb82afb756576ab407ba0b,950000.0,0,1600.0,3.0,2.0,0,0,0,0,1,0,1,0,1,1,0,36.9021,10.0403,4.399671
6924bb77145e1617cbabd307,950000.0,0,1600.0,3.0,2.0,0,0,0,3,1,0,1,0,1,1,0,36.9021,10.0403,9.47953
68db953d516f1ddb82e6770a,1600000.0,0,590.0,6.0,3.0,0,1,0,2,1,0,1,0,0,1,1,36.9008,10.1914,9.47953
68d555fc516f1ddb82e2ec8d,1250000.0,0,400.0,4.0,3.0,0,0,0,2,0,0,1,0,0,0,0,36.8589,10.1906,9.47953
691f4fd8265523b710e8839b,950000.0,0,580.0,7.0,3.0,0,1,0,7,1,0,1,0,0,1,0,36.8369,10.1394,9.47953
68b5832a711369bbe4f59d3b,1400000.0,0,640.0,5.0,4.0,0,0,0,5,1,0,1,0,0,0,0,36.8661,10.2526,9.47953
69415e7a8914daae519c5398,240000.0,0,90.0,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.7436,10.3097,9.47953
6924a46c6e0dc7ea5e33d9ef,1500000.0,0,673.0,5.0,3.0,0,0,1,2,0,0,1,0,0,0,1,36.8586,10.1822,9.47953
6903440bb756576ab40bdb04,980000.0,0,515.0,6.0,3.0,0,0,1,2,1,0,1,0,0,0,0,36.8532,10.1647,9.47953
690dc9fe145e1617cb9e786c,295000.0,0,140.0,3.0,2.0,0,1,0,2,0,0,0,0,0,0,0,36.8369,10.1394,9.47953
679369766286c2414574dd31,480000.0,1,294.0,4.0,2.0,0,1,1,2,1,0,0,0,1,1,0,36.8532,10.1647,9.47953
690cdc4f8e4e0e4acb5ea2e7,1600000.0,0,600.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8574,10.1853,4.399671
68d17789516f1ddb82e091e3,1600000.0,0,467.0,5.0,3.0,0,0,0,2,0,0,0,0,0,0,0,36.8574,10.1853,9.47953
694001a7cd04d08be74b40d4,600000.0,1,160.0,4.0,3.0,0,1,0,1,0,0,0,0,0,0,0,36.8782,10.3247,6.9507422
6940008ecd04d08be74b4020,950000.0,0,775.0,8.0,6.0,1,0,0,2,0,0,1,0,0,0,0,36.872,10.2345,9.47953
67a32861ecbb2843cb40a88b,985000.0,0,490.0,4.0,3.0,1,0,0,2,1,0,1,0,1,1,1,36.8986,10.1979,9.47953
68ce8e4f07c7711d7c712a98,750000.0,0,244.0,5.0,4.0,0,1,1,2,1,0,1,0,1,1,0,36.8615,10.1889,9.47953
69400c988914daae519bbc86,2200000.0,0,950.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.9176,10.2874,4.399671
684717668bda81f7f5d8d543,1200000.0,0,547.0,5.0,4.0,0,0,0,0,1,0,0,0,0,0,0,36.855,10.162,4.399671
694002e88914daae519bb687,950000.0,0,775.0,8.0,6.0,1,0,0,2,0,0,1,0,0,0,0,36.865,10.153,9.47953
6939442bcd04d08be7488947,950000.0,0,380.0,5.0,3.0,0,0,0,2,1,0,1,0,0,0,1,36.8314,10.3183,9.47953
6940221f8914daae519bcb12,185000.0,0,100.0,6.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8231,10.1416,9.47953
68e683a4e7035d31a41258b3,2400000.0,0,450.0,7.0,5.0,1,0,0,2,1,0,1,0,0,0,1,36.872,10.2345,9.47953
685fb08194cd0376dccf9066,1350000.0,0,300.0,4.0,3.0,0,0,1,1,1,0,1,0,1,1,1,36.872,10.2345,6.9507422
68dfa31ee7035d31a40e3df5,850000.0,0,386.0,5.0,5.0,0,0,0,2,1,0,1,0,1,1,0,36.8782,10.3247,9.47953
693fc91be922eb04d002c841,1111111.0,0,200.0,3.0,1.0,1,1,0,1,1,0,1,0,0,0,0,36.8065,10.1815,6.9507422
68c05825c4782c5427af7667,1000000.0,0,400.0,9.0,7.0,1,0,0,3,1,0,1,0,0,0,1,36.7309,10.3236,9.47953
67712bb778b8a162a7740837,28343000.0,0,620.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.7436,10.3097,4.399671
693fcea38914daae519b9cbf,800000.0,0,413.0,8.0,3.0,0,0,0,1,0,0,0,0,0,0,0,36.7681,10.2766,6.9507422
693fca6ae922eb04d002c8c5,310000.0,1,180.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.7403,10.2516,4.399671
693fc58fcd04d08be74b245e,280000.0,0,140.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.8096,10.1364,6.9507422
68b86674df9d8936c105f40d,480000.0,1,85.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.865,10.153,4.399671
693ec06bcd04d08be74ac409,1800000.0,0,400.0,6.0,6.0,0,1,1,3,1,0,0,0,1,1,1,36.9176,10.2874,9.47953
693e854ecd04d08be74aa9e0,790000.0,0,544.0,9.0,4.0,0,1,1,2,1,0,0,0,0,0,1,36.7309,10.3236,9.47953
693ebe6f8914daae519b396d,570000.0,0,138.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.8782,10.3247,4.399671
693dcb848914daae519af45c,560000.0,1,167.0,4.0,2.0,0,0,0,0,1,0,1,0,0,0,0,36.9008,10.1914,4.399671
693dd4bc8914daae519af965,100000.0,0,446.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7604,10.0568,4.399671
693db4788914daae519ae6ca,430000.0,0,671.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.6956,10.2824,4.399671
6920431d265523b710e8e670,280000.0,0,249.0,4.0,1.0,0,1,0,0,1,0,1,0,0,0,0,36.8369,10.1394,4.399671
690dce53145e1617cb9e7f95,366000.0,1,145.3,2.0,2.0,1,1,0,3,1,1,0,0,1,1,0,36.8083,10.0997,9.47953
67ee67e6ca3467b14e72c4cc,1800000.0,0,587.0,4.0,2.0,1,1,0,0,0,0,1,0,1,1,1,36.8548,10.1639,4.399671
689f30d6ccec382a0d6d176d,640000.0,0,260.0,8.0,3.0,0,0,0,0,1,0,1,1,0,0,0,36.8083,10.0997,4.399671
68ee203f53fa6375757c15f1,1380000.0,0,300.0,4.0,3.0,0,0,0,2,1,0,1,0,1,1,1,36.8625,10.1505,9.47953
69305bc0145e1617cbafffbd,870000.0,0,404.0,8.0,4.0,0,0,0,3,0,0,1,0,0,0,0,36.8597,10.1778,9.47953
6891d0d54ad00efe9738e0e8,680000.0,0,400.0,6.0,3.0,1,0,1,2,1,0,1,0,0,0,0,36.8096,10.1364,9.47953
6939864acd04d08be748b260,300000.0,0,170.0,5.0,2.0,0,1,0,2,0,0,0,0,1,1,0,36.8611,10.2203,9.47953
6828550241532c94f15b5b2e,1300000.0,0,387.0,3.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.8416,10.1587,6.9507422
693d3c08cd04d08be74a38bb,3000000.0,0,564.0,5.0,3.0,0,0,0,3,1,0,0,0,0,0,0,36.8615,10.1889,9.47953
685299e70e1c20e3eb0cda87,680000.0,0,227.0,4.0,2.0,0,1,0,2,1,0,0,0,0,0,0,36.8385,10.168,9.47953
693c0d028914daae519a37e2,850000.0,0,285.0,4.0,4.0,1,0,0,0,1,0,1,0,0,0,0,36.8782,10.3247,4.399671
693c281ecd04d08be749d527,310000.0,0,260.0,5.0,3.0,0,1,0,3,0,0,0,0,0,0,0,36.8314,10.3183,9.47953
692eb18a145e1617cbaf3567,375000.0,0,188.0,3.0,2.0,0,1,0,2,1,0,0,0,0,0,0,36.7531,10.2189,9.47953
6911f8e6145e1617cba291cb,870000.0,0,170.0,5.0,3.0,1,1,0,2,1,0,1,0,1,1,1,36.8782,10.3247,9.47953
693c520e8914daae519a643e,668000000.0,0,3000.0,8.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8065,10.1815,9.47953
692abab2265523b710ecfebc,450000.0,0,341.0,5.0,2.0,0,0,0,0,0,0,0,0,0,1,0,36.7116,10.3947,4.399671
693bce6dcd04d08be7499c75,260000.0,0,400.0,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.9073,10.2081,4.399671
693af444cd04d08be7495360,480000.0,1,200.0,3.0,3.0,1,0,1,2,1,0,1,0,1,1,0,36.7681,10.2766,9.47953
693bebbccd04d08be749aeee,170000.0,1,60.0,3.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8782,10.3247,9.47953
693bc7828914daae519a0e4c,130000.0,1,117.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.845,10.1595,4.399671
693bc781cd04d08be749995f,420000.0,0,170.0,3.0,2.0,0,0,0,1,0,0,1,0,1,1,0,36.8597,10.1778,6.9507422
693a81f8cd04d08be7491013,950000.0,0,660.0,14.0,6.0,1,0,1,3,1,0,0,0,0,0,0,36.7403,10.2516,9.47953
6900d307d0d95991e106dba4,300000.0,0,227.0,4.0,2.0,0,1,0,0,0,0,0,0,0,0,0,36.8096,10.1364,4.399671
69009424d0d95991e106a719,720000.0,0,325.0,7.0,4.0,0,1,0,2,1,0,1,0,0,0,0,36.8611,10.2203,9.47953
692459a0da5d3acb89b341ae,890000.0,0,781.0,7.0,2.0,0,0,0,2,0,0,1,0,0,1,0,36.8347,10.1458,9.47953
693ad2c08914daae5199b6a9,470000.0,0,150.0,7.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.8369,10.1394,9.47953
693ad8088914daae5199b95f,985000.0,0,546.0,4.0,2.0,1,0,0,0,1,0,1,0,0,0,1,36.8635,10.151,4.399671
693a8e1d8914daae51998c51,300000.0,1,150.0,4.0,2.0,0,0,1,0,0,0,0,0,0,0,0,36.8611,10.2203,4.399671
692da41b145e1617cbaed2af,539994.0,1,128.57,3.0,2.0,1,1,0,2,1,1,0,0,1,1,0,36.8314,10.3183,9.47953
691eeccc145e1617cba90f31,730000.0,0,330.0,6.0,4.0,0,1,0,1,1,0,1,0,0,0,0,36.8096,10.1364,6.9507422
691499d9145e1617cba42dbe,320000.0,0,307.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.8111,10.0806,4.399671
693a8d8b8914daae51998bf6,850000.0,0,404.0,9.0,3.0,0,0,0,3,0,0,0,0,0,0,0,36.8597,10.1778,9.47953
68e92e5b3e7ffb8ac15808c0,450000.0,1,160.0,4.0,3.0,0,0,0,2,1,0,0,0,1,1,0,36.8986,10.1979,9.47953
693963378914daae519913e5,400000.0,0,220.0,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.8619,10.0407,9.47953
6935c1bdcd04d08be7470136,95000.0,0,50.0,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.822,10.164,7.318099
692eaaaa265523b710ee5b5c,799999.0,0,413.0,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.7681,10.2766,6.9507422
673362ea0d8480a1e00c85b5,1150000.0,0,327.0,4.0,3.0,1,1,0,2,0,0,1,0,0,0,1,36.8096,10.1364,9.47953
69394907cd04d08be7488ca3,1750000.0,0,637.0,5.0,3.0,0,0,0,2,1,0,1,0,0,0,0,36.8782,10.3247,9.47953
6939a5edcd04d08be748c43c,600000.0,0,500.0,3.0,2.0,0,0,0,0,1,0,1,0,0,0,0,36.845,10.1595,4.399671
68e3fc1f6c505afdc05fc112,580000.0,0,486.0,5.0,2.0,0,1,0,2,0,0,0,0,0,0,0,36.872,10.2345,9.47953
691d9971265523b710e79094,360000.0,1,150.0,3.0,2.0,0,0,0,2,1,0,0,0,0,1,0,36.872,10.2345,9.47953
69393c188914daae5198fb28,155000.0,0,130.0,6.0,2.0,0,0,1,2,1,0,0,0,0,0,0,36.8619,10.0407,9.47953
6939a553cd04d08be748c3f2,162000.0,0,200.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.9073,10.2081,4.399671
6937fe5b8914daae51987338,440000.0,0,388.0,4.0,3.0,1,1,0,2,1,0,1,0,1,1,0,36.872,10.2345,9.47953
691319b8265523b710e2749f,850000.0,0,350.0,4.0,3.0,0,0,0,0,1,0,1,0,1,1,0,36.872,10.2345,4.399671
693825f28914daae51988f94,1500000000.0,0,453.0,6.0,3.0,0,0,0,0,1,0,0,0,0,1,0,36.8609,10.1747,4.399671
69382d6f8914daae5198952b,340000.0,0,180.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,0,36.8611,10.2203,9.47953
679b9e4ea487ea2259c19664,675000.0,0,423.0,7.0,3.0,0,1,1,1,1,0,1,0,1,0,0,36.8096,10.1364,6.9507422
6938116bcd04d08be7480877,250000.0,0,306.0,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.8354,10.0489,6.9507422
69370d288914daae51981362,450000.0,0,250.0,7.0,3.0,0,0,0,3,0,0,0,0,0,0,0,36.7009,10.1736,9.47953
69258e3d145e1617cbac0f6b,190000.0,0,120.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.9073,10.2081,4.399671
6936d4da8914daae5197e9a0,370000.0,0,317.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8093,10.0972,4.399671
6937ecf0cd04d08be747eba7,380000.0,0,168.0,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,36.7009,10.1736,4.399671
6936faa1cd04d08be7478d4c,170000.0,1,131.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.872,10.2345,4.399671
682dddb76238a0abfdd47200,1600000.0,0,491.0,8.0,2.0,0,0,0,2,1,0,0,0,0,1,0,36.8395,10.1682,9.47953
6936f59f8914daae519803e3,1450000.0,0,250.0,7.0,4.0,0,0,0,2,1,0,1,0,0,0,0,36.8782,10.3247,9.47953
69370216cd04d08be7479193,3500000.0,0,957.0,3.0,2.0,0,0,0,2,1,0,1,0,1,1,0,36.8529,10.3315,9.47953
6937f327cd04d08be747f032,600000.0,0,465.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.8407,10.3262,4.399671
69365de08914daae5197ac4c,600000.0,0,270.0,3.0,3.0,0,0,0,0,1,0,1,0,0,0,0,36.872,10.2345,4.399671
66db19c667b755ba921ac4d8,480000.0,0,350.0,4.0,4.0,0,1,0,3,1,0,0,0,1,1,0,36.7116,10.3947,9.47953
6936a917cd04d08be7475133,1300000.0,0,292.0,7.0,5.0,0,1,0,2,1,0,1,0,0,0,1,36.872,10.2345,9.47953
6935e7c78914daae5197931d,400000.0,0,400.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.723,10.2105,4.399671
6936c522cd04d08be7476417,800000.0,0,225.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.8096,10.1364,6.9507422
69369cf68914daae5197c350,800000.0,0,413.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.7681,10.2766,6.9507422
69365d4a8914daae5197ac37,5400000.0,0,795.0,5.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.8529,10.3315,4.399671
6935bdff8914daae51977a37,1200000.0,0,690.0,7.0,2.0,0,1,1,2,1,0,1,0,0,0,0,36.8111,10.0806,9.47953
6935edd28914daae519796ac,295000.0,0,200.0,6.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.7,10.3,9.47953
67cacfdf93928ac5bc1870c5,750000.0,0,597.0,6.0,4.0,0,0,0,2,1,0,1,0,0,0,0,36.7116,10.3947,9.47953
67361b153c20a99fb5500bb2,790000.0,0,418.0,7.0,4.0,0,0,0,2,1,0,0,0,0,0,0,36.7116,10.3947,9.47953
693629bacd04d08be7472d30,529996.0,0,300.0,4.0,2.0,0,0,1,2,1,0,0,0,0,0,0,36.8369,10.1394,9.47953
68c80044516f1ddb82da9b6d,650000.0,0,520.0,6.0,2.0,0,1,0,2,1,0,1,1,0,0,0,36.7116,10.3947,9.47953
6934abaccd04d08be746a6f8,650000.0,0,500.0,8.0,4.0,0,0,0,2,0,0,0,0,0,0,0,36.8986,10.1979,9.47953
693461288914daae5196f842,150000000.0,0,106.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8601,10.1971,9.47953
68f62050b756576ab404a7a8,980000.0,0,480.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.7254,10.3019,4.399671
693546fc8914daae5197407e,780000.0,0,380.0,5.0,3.0,0,1,0,3,0,0,1,1,0,0,0,36.7436,10.3097,9.47953
685030018bda81f7f5ddf6f6,850000.0,0,503.0,7.0,5.0,0,0,0,2,0,0,1,0,1,1,0,36.8369,10.1394,9.47953
6821ba04cb21b3571b421a9a,1600000.0,0,450.0,5.0,3.0,0,1,0,2,1,0,1,0,0,0,0,36.8548,10.1639,9.47953
685128450e1c20e3eb0bd78a,3099998.0,0,672.0,5.0,5.0,0,0,0,3,1,0,1,0,0,0,1,36.8416,10.1587,9.47953
6918395e265523b710e526af,1990000.0,0,500.0,6.0,4.0,0,1,0,2,1,0,0,0,1,1,1,36.8416,10.1587,9.47953
69276a02145e1617cbacb81e,600000.0,0,158.0,3.0,2.0,0,1,0,2,0,0,1,0,0,0,0,36.8661,10.2526,9.47953
68ef91573e7ffb8ac15b77d6,380000.0,0,441.0,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,36.8665,10.1647,4.399671
6932e54a8914daae5196574e,680000.0,0,307.0,3.0,3.0,1,0,0,0,1,0,0,0,1,1,0,36.8665,10.1647,4.399671
68e9206653fa6375757974f1,340000.0,0,180.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.7239,10.2096,9.47953
69340d108914daae5196cc5d,270000.0,0,130.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7303,10.3417,4.399671
68f383fbd0d95991e1ff9b74,1000000.0,0,672.0,6.0,4.0,0,1,0,2,1,0,1,0,0,1,0,36.8629,10.1732,9.47953
69189dc6265523b710e5608c,1900000.0,0,502.0,5.0,4.0,0,1,0,5,1,0,1,0,1,1,0,36.8629,10.1732,9.47953
6932dc1dcd04d08be745d8a3,200000000.0,0,100.0,3.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.8457,10.1039,4.399671
6932bdafcd04d08be745c78e,270000.0,0,220.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.8385,10.168,4.399671
693303938914daae51966a03,250000.0,0,190.0,3.0,1.0,0,0,0,2,0,0,1,0,0,0,0,36.9073,10.2081,9.47953
68bf01fdc4782c5427ae9adc,695000.0,0,480.0,7.0,4.0,0,0,0,3,0,0,0,0,0,0,0,36.8665,10.1647,9.47953
693306dccd04d08be745f2ac,390000.0,0,140.0,5.0,2.0,0,1,0,3,0,0,0,0,0,0,0,36.8065,10.1815,9.47953
68bc3f47985e647fd0e8f49d,450000.0,0,355.0,4.0,2.0,0,1,0,0,1,0,0,0,1,1,0,36.8665,10.1647,4.399671
69208ebf145e1617cba9f0e6,320000.0,0,180.0,5.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8465,10.1602,9.47953
